,PLACE NAME,SUPERFICIE TOTAL EN M2,PRECIO USD POR M2,PRICE,CURRENCY,PRECIO USD,TIPO DE PROPIEDAD,CANTIDAD,ZONAS COMUNALES,ambientes_regex,parrilla_regex,cochera_regex,pileta_regex,sum_regex,solarium_regex,gym_regex,balcon_regex,jardin_regex,lavadero_regex,estrenar_regex,quincho_regex,patio_regex
1672,liniers,60.0,825.0,49500.0,usd,49500.0,store,1.0,ZONA OESTE COMUNAL,0,0,0,0,0,0,0,0,0,0,0,0,0
1673,boca,107.0,1196.2616822429907,128000.0,usd,128000.0,apartment,1.0,ZONA SUR COMUNAL,4,0,0,0,0,0,0,1,0,1,0,0,1
1674,caballito,57.0,1666.6666666666667,95000.0,usd,95000.0,house,1.0,ZONA CENTRO COMUNAL,2,1,0,0,1,0,0,0,0,1,0,0,1
1675,tribunales,70.0,1757.142857142857,123000.0,usd,123000.0,apartment,1.0,ZONA ESTE COMUNAL,3,0,0,0,0,0,0,0,0,0,0,0,0
1676,barrionorte,58.0,3017.2413793103447,175000.0,usd,175000.0,apartment,1.0,ZONA ESTE COMUNAL,3,0,0,0,0,0,0,1,0,1,0,0,0
1677,villaurquiza,65.0,2446.153846153846,159000.0,usd,159000.0,apartment,1.0,ZONA NORTE COMUNAL,2,0,1,0,0,0,0,1,0,1,0,0,1
1678,flores,72.0,1458.3333333333333,105000.0,usd,105000.0,apartment,1.0,ZONA CENTRO COMUNAL,3,0,0,0,0,0,0,0,0,1,0,0,0
1679,caballito,85.0,1623.5294117647059,138000.0,usd,138000.0,apartment,1.0,ZONA CENTRO COMUNAL,3,0,0,0,0,0,0,0,0,0,0,0,1
1680,caballito,83.0,2024.0963855421687,168000.0,usd,168000.0,apartment,1.0,ZONA CENTRO COMUNAL,3,0,1,0,0,0,0,1,0,0,0,0,0
1681,almagro,64.0,2890.625,185000.0,usd,185000.0,apartment,1.0,ZONA CENTRO COMUNAL,3,0,1,0,0,0,0,1,0,1,0,0,0
1682,sancristobal,73.0,1397.2602739726028,102000.0,usd,102000.0,apartment,1.0,ZONA ESTE COMUNAL,3,0,0,0,0,0,0,0,0,1,0,0,0
1683,sancristobal,65.0,1615.3846153846155,105000.0,usd,105000.0,apartment,1.0,ZONA ESTE COMUNAL,3,0,0,0,0,0,0,1,0,1,0,0,0
1684,sancristobal,270.0,888.8888888888889,240000.0,usd,240000.0,ph,1.0,ZONA ESTE COMUNAL,5,0,0,0,0,0,0,0,0,0,0,1,0
1685,recoleta,170.0,3876.470588235294,659000.0,usd,659000.0,apartment,1.0,ZONA ESTE COMUNAL,4,0,1,1,0,1,0,1,0,1,0,0,0
1686,villacrespo,130.0,1838.4615384615386,239000.0,usd,239000.0,house,1.0,ZONA NORTE COMUNAL,4,0,0,0,0,0,0,1,0,1,0,0,0
1687,belgrano,80.0,3037.5,243000.0,usd,243000.0,apartment,1.0,ZONA NORTE COMUNAL,3,0,1,0,0,0,0,1,0,1,0,0,0
1688,barrionorte,80.0,2175.0,174000.0,usd,174000.0,apartment,1.0,ZONA ESTE COMUNAL,4,0,0,0,0,0,0,1,0,1,0,0,0
1689,once,50.0,22000.0,1100000.0,usd,1100000.0,store,1.0,ZONA ESTE COMUNAL,0,0,0,0,0,0,0,0,0,0,0,0,0
1690,congreso,81.0,1851.851851851852,150000.0,usd,150000.0,apartment,1.0,ZONA ESTE COMUNAL,3,0,0,0,0,0,0,1,0,1,0,0,0
1691,palermo,82.0,2548.7804878048782,209000.0,usd,209000.0,apartment,1.0,ZONA NORTE COMUNAL,3,0,0,0,0,0,0,1,0,1,0,0,1
1692,once,125.0,2000.0,250000.0,usd,250000.0,apartment,1.0,ZONA ESTE COMUNAL,4,0,0,0,0,0,0,1,0,0,0,0,0
1693,belgrano,85.0,3882.3529411764707,330000.0,usd,330000.0,apartment,1.0,ZONA NORTE COMUNAL,0,1,1,1,1,1,1,1,1,1,0,0,0
