iter	Passed	Remaining
577	6587	39000
578	6605	39027
579	6616	39015
580	6627	39001
581	6640	39000
582	6652	38991
583	6664	38983
584	6676	38972
585	6687	38962
586	6699	38954
587	6711	38946
588	6722	38932
589	6734	38920
590	6745	38911
591	6758	38905
592	6771	38903
593	6783	38897
594	6795	38886
595	6806	38877
596	6818	38866
597	6831	38862
598	6842	38849
599	6853	38836
600	6864	38822
601	6874	38805
602	6885	38788
603	6897	38779
604	6909	38774
605	6921	38764
606	6933	38759
607	6945	38749
608	6959	38748
609	6971	38745
610	6985	38743
611	6996	38734
612	7007	38721
613	7020	38713
614	7027	38681
615	7038	38665
616	7049	38654
617	7062	38650
618	7073	38633
619	7082	38610
620	7093	38595
621	7105	38587
622	7116	38575
623	7128	38565
624	7139	38553
625	7152	38552
626	7165	38548
627	7179	38550
628	7190	38535
629	7201	38522
630	7212	38508
631	7223	38496
632	7237	38494
633	7248	38484
634	7260	38472
635	7270	38457
636	7282	38445
637	7293	38431
638	7303	38412
639	7314	38403
640	7327	38396
641	7338	38383
642	7348	38366
643	7363	38371
644	7373	38354
645	7384	38339
646	7395	38328
647	7408	38324
648	7419	38310
649	7429	38292
650	7440	38278
651	7452	38269
652	7464	38258
653	7476	38250
654	7487	38237
655	7499	38230
656	7511	38220
657	7524	38214
658	7535	38202
659	7546	38192
660	7558	38182
661	7567	38158
662	7577	38139
663	7589	38129
664	7602	38126
665	7613	38112
666	7625	38105
667	7636	38092
668	7649	38084
669	7660	38074
670	7672	38062
671	7684	38055
672	7695	38044
673	7708	38037
674	7721	38034
675	7733	38024
676	7744	38011
677	7756	38004
678	7768	37996
679	7781	37990
680	7793	37982
681	7804	37967
682	7815	37957
683	7827	37948
684	7838	37933
685	7850	37924
686	7862	37916
687	7873	37903
688	7884	37887
689	7894	37870
690	7905	37856
691	7916	37845
692	7928	37835
693	7941	37829
694	7953	37820
695	7965	37812
696	7977	37804
697	7991	37806
698	8004	37802
699	8016	37794
700	8027	37778
701	8039	37771
702	8047	37743
703	8059	37734
704	8071	37722
705	8084	37718
706	8096	37709
707	8107	37695
708	8118	37683
709	8129	37668
710	8141	37659
711	8152	37648
712	8164	37638
713	8177	37635
714	8191	37635
715	8203	37624
716	8217	37625
717	8230	37621
718	8241	37610
719	8253	37598
720	8264	37584
721	8277	37579
722	8288	37568
723	8301	37564
724	8314	37558
725	8328	37556
726	8342	37557
727	8356	37557
728	8368	37549
729	8380	37538
730	8394	37538
731	8407	37535
732	8418	37523
733	8431	37518
734	8444	37511
735	8455	37498
736	8467	37487
737	8479	37479
738	8491	37472
739	8503	37459
740	8514	37449
741	8526	37437
742	8538	37429
743	8548	37411
744	8559	37398
745	8571	37388
746	8583	37377
747	8597	37379
748	8611	37379
749	8625	37375
750	8636	37363
751	8646	37345
752	8658	37335
753	8669	37323
754	8681	37312
755	8691	37294
756	8701	37276
757	8713	37267
758	8725	37257
759	8736	37245
760	8748	37237
761	8761	37229
762	8773	37219
763	8785	37213
764	8797	37203
765	8811	37201
766	8823	37193
767	8834	37180
768	8846	37168
769	8857	37155
770	8870	37149
771	8882	37142
772	8893	37127
773	8905	37116
774	8917	37106
775	8927	37091
776	8938	37077
777	8949	37064
778	8961	37055
779	8973	37045
780	8985	37035
781	8998	37028
782	9011	37024
783	9023	37016
784	9037	37012
785	9049	37002
786	9062	36997
787	9073	36986
788	9085	36974
789	9097	36964
790	9109	36954
791	9121	36946
792	9133	36936
793	9145	36929
794	9158	36920
795	9170	36911
796	9182	36904
797	9196	36901
798	9211	36902
799	9224	36898
800	9239	36900
801	9251	36892
802	9262	36877
803	9273	36861
804	9285	36853
805	9296	36839
806	9307	36826
807	9318	36811
808	9330	36801
809	9341	36790
810	9353	36778
811	9366	36773
812	9376	36756
813	9387	36744
814	9399	36731
815	9412	36728
816	9425	36722
817	9438	36714
818	9451	36708
819	9462	36695
820	9475	36689
821	9487	36680
822	9497	36664
823	9510	36658
824	9522	36645
825	9534	36637
826	9545	36624
827	9556	36611
828	9567	36597
829	9578	36582
830	9589	36569
831	9602	36562
832	9613	36550
833	9626	36543
834	9638	36533
835	9649	36519
836	9660	36506
837	9672	36496
838	9683	36483
839	9695	36471
840	9706	36460
841	9719	36452
842	9730	36441
843	9741	36427
844	9752	36414
845	9764	36404
846	9776	36393
847	9788	36382
848	9800	36374
849	9812	36365
850	9825	36356
851	9838	36351
852	9849	36338
853	9861	36326
854	9872	36314
855	9883	36300
856	9896	36293
857	9906	36278
858	9916	36261
859	9927	36246
860	9938	36232
861	9950	36221
862	9961	36208
863	9973	36199
864	9984	36187
865	9995	36174
866	10009	36170
867	10023	36169
868	10036	36162
869	10050	36157
870	10062	36148
871	10073	36136
872	10086	36128
873	10098	36118
874	10110	36109
875	10121	36096
876	10134	36088
877	10146	36077
878	10158	36067
879	10169	36056
880	10180	36040
881	10191	36029
882	10203	36017
883	10216	36011
884	10229	36006
885	10241	35994
886	10254	35989
887	10267	35982
888	10279	35973
889	10289	35954
890	10301	35943
891	10311	35929
892	10322	35915
893	10333	35902
894	10344	35888
895	10356	35878
896	10367	35864
897	10379	35853
898	10391	35843
899	10401	35828
900	10413	35817
901	10425	35805
902	10439	35804
903	10451	35795
904	10465	35791
905	10476	35779
906	10489	35771
907	10502	35763
